iter	Passed	Remaining
935	4297	293
936	4302	289
937	4306	284
938	4311	280
939	4316	275
940	4320	270
941	4324	266
942	4330	261
943	4334	257
944	4339	252
945	4344	248
946	4349	243
947	4353	238
948	4358	234
949	4363	229
950	4369	225
951	4374	220
952	4379	215
953	4384	211
954	4389	206
955	4394	202
956	4399	197
957	4404	193
958	4409	188
959	4414	183
960	4419	179
961	4424	174
962	4429	170
963	4434	165
964	4439	161
965	4444	156
966	4449	151
967	4454	147
968	4459	142
969	4465	138
970	4470	133
971	4476	128
972	4481	124
973	4486	119
974	4492	115
975	4497	110
976	4501	105
977	4506	101
978	4512	96
979	4517	92
980	4522	87
981	4526	82
982	4531	78
983	4536	73
984	4540	69
985	4545	64
986	4550	59
987	4554	55
988	4559	50
989	4564	46
990	4569	41
991	4573	36
992	4577	32
993	4582	27
994	4586	23
995	4591	18
996	4596	13
997	4600	9
998	4604	4
999	4608	0
